Lada,Ciudad,Estado
33,Guadalajara,Jal.
33-,Zapopan,Jal.
55,México,CDMX
81,Monterrey,N.L.
222,Puebla,Pue.
228,Jalapa,Ver.
229,Veracruz,Ver.
238,Tehuacán,Pue.
241,Apizaco,Tlax.
244,Atlixco,Pue.
246,Tlaxcala,Tlax.
248,San Martín Texmelucan,Pue.
271,Córdoba,Ver.
272,Orizaba,Ver.
311,Tepic,Nay.
312,Colima,Col.
314,Manzanillo,Col.
322,Puerto Vallarta,Jal.
325,Acaponeta,Nay.
341,Ciudad Guzmán,Jal.
351,Zamora,Mich.
352,La Piedad,Mich.
353,Sahuayo,Mich.
378,Tepatitlan,Jal.
392,Ocotlán,Jal.
415,San Miguel de Allende,Gto.
427,Polotitlán,Méx.
442,Querétaro,Qro.
443,Morelia,Mich.
444,San Luis Potosí,S.L.P.
445,Moroleón,Gto.
449,Aguascalientes,Ags.
452,Uruapan,Mich.
461,Celaya,Gto.
462,Irapuato,Gto.
464,Salamanca,Gto.
473,Guanajuato,Gto.
474,Lagos de Moreno,Jal.
477,León,Gto.
481,Ciudad Valles,S.L.P.
492,Zacatecas,Zac.
493,Fresnillo,Zac.
594,San Marcos Nepantla,Méx.
595,Texcoco,Méx.
612,La Paz,B.C.S.
613,Ciudad Constitución,B.C.S.
614,Chihuahua,Chih.
615,San Ignacio,B.C.S.
618,Durango,Dgo.
622,Guaymas,Son.
622-,Empalme,Son.
623,Yécora,Son.
624,San José del Cabo,B.C.S.
625,Ciudad Cuauhtémoc,Chih.
627,Parral,Chih.
631,Nogales,Son.
632,Magdalena,Son.
633,Agua Prieta,Son.
634,Nacozari,Son.
635,Temoris,Chih.
637,Caborca,Son.
638,Puerto Peñasco,Son.
639,Ciudad Delicias,Chih.
641,Santa Ana,Son.
642,Navojoa,Son.
643,Vicam,Son.
643-,Pueblo Yaqui,Son.
644,Ciudad Obregón,Son.
644-,Esperanza,Son.
644-.,Cajeme,Son.
644-..,Cocorit,Son.
644-…,Tobarito,Son.
645,Cananea,Son.
646,Ensenada,B.C.
647,Huatabampo,Son.
647-,Etchojoa,Son.
651,Sonoyta,Son.
653,San Luis Río Colorado,Son.
656,Ciudad Juárez,Chih.
662,Hermosillo,Son.
664,Tijuana,B.C.
665,Tecate,B.C.
667,Culiacán,Sin.
668,Los Mochis,Sin.
668-,Ahome,Sin.
668,Los Mochis,Sin.
669,Mazatlán,Sin.
673,Guamuchil,Sin.
686,Mexicali,B.C.
687,Guasave,Sin.
697,Angostura,Sin.
698,El Fuerte,Sin.
712,San Felipe del Progreso,Méx.
722,Toluca,Méx.
728,Lerma,Méx.
733,Mayanalán,Gro.
734,Zacatepec,Mor.
735,Cuautla,Mor.
744,Acapulco,Gro.
747,Chilpancingo,Gro.
753,Ciudad Lázaro Cárdenas,Mich.
755,Zihuatanejo,Gro.
771,Pachuca,Hgo.
773,Tepeji del Rio,Hgo.
775,Singuilucan,Hgo.
777,Cuernavaca,Mor.
778,Atitalaquia,Hgo.
782,Poza Rica,Ver.
783,Tuxpan,Ver.
831,Ciudad Mante,Tamps.
833,Tampico,Tamps.
834,Ciudad Victoria,Tamps.
844-,Saltillo,Coah.
861,Sabinas,Coah.
866,Monclova,Coah.
867,Nuevo Laredo,Tamps.
868,Matamoros,Tamps.
871,Torreón,Coah.
878,Jiménez,Coah.
899,Reynosa,Tamps.
921,Coatzacoalcos,Ver.
922,Chinameca,Ver.
938,Ciudad del Carmen,Camp.
951,Oaxaca,Oax.
961,Tuxtla Gutiérrez,Chis.
962,Tapachula,Chis.
971,Ixtepec,Oax.
981,Campeche,Camp.
983,Chetumal,Q.Roo
993,Villahermosa,Tab.
998,Cancún,Q.Roo
999,Mérida,Yuc.
